the_geom,cartodb_id,the_geom_webmercator,objectid,_ds_write_method,access_direction,access_direction_cardinal,accessible,baby_change_facilities,bbq,boat_ramp,caravan_disposal,carriageway_code,carriageway_configuration,category,construction_date,description,distance_from,driver_reviver,emergency_phones,entry_taper,exit_taper,food_available,fuel_available,guid,heavy_vehicle_parking_capacity,heavy_vehicles_parking_type,last_updated,latitude,lga,light_vehicle_parking_capacity,light_vehicles_parking_type,lighting,link_no,litter_bins,longitude,lookout,ne_unique,pets_allowed,picnic_table,playground,power_outlets,power_supply,region,responsible_authority,rest_area_name,rest_area_number,road_name,road_number,separated_parking_areas_light_heavy,shade,shelter,side_of_road,sign_non_potable,site_status,sports_ground,suburb,invalid_the_geom,toilets,tourist_information,tree_shading,vehicle_type,water_supply_type
0104000020E6100000010000000101000000642310AFEBC462404F41AB3E57C340C0,3651,0104000020110F00000100000001010000006667F226A4E16F41D89BCD7AD0404EC1,,,Prescribed,Northbound,,,,,,A,,Class 4 Heavy Vehicle Rest Area,,,8.1km East of Lithgow,,,,,,,,,,2024-04-17 00:00:00+00,-33.5261,LITHGOW CITY,,,,1570,TRUE,150.15377,,"0000005,1570,A1",,TRUE,,,,West,Transport for NSW,River Lett Hill (left),957,GREAT WESTERN HIGHWAY,5,,TRUE,,Left,,,,HARTLEY,,2,,TRUE,BOTH LIGHT AND HEAVY VEHICLES,None
0104000020E6100000010000000101000000813E912749846240A72942959A7D41C0,3652,0104000020110F0000010000000101000000EB8E0435DA736F41FEB81ABB9CBF4FC1,,,Counter,Both Directions,TRUE,,,,,C,Physical Seperation,Class 3 Heavy Vehicle Rest Area,,,11km from Gundagai and 90km to Yass,,,,,,,,,,2024-04-17 00:00:00+00,-34.98128,COOTAMUNDRA-GUNDAGAI REGIONAL,,,TRUE,1832,TRUE,148.13393,,"0000002,1832,C1",,TRUE,,,,South,Transport for NSW,Mingay Rest Area,2015,HUME HIGHWAY-STH COOLAC OFFLOAD,2,,,,Right,,Open,,COOLAC,,4,TRUE,,BOTH LIGHT AND HEAVY VEHICLES,Rainwater Tank
0104000020E6100000010000000101000000BFF1B56796B46140EC5892AE998840C0,3653,0104000020110F0000010000000101000000FECCB3560E136E41CB951BDB70C94DC1,,,Both,Both Directions,TRUE,,,,,A,,Class 5 Heavy Vehicle Rest Area,,,128.8km North of Wentworth,,,,,,,,,,2024-04-17 00:00:00+00,-33.06719,UNINCORPORATED - FAR WEST AREA,,,,140,TRUE,141.64336,,"0000022,0140,A2",,TRUE,,,,West,Transport for NSW,Popiltah Lake Rest Area,245,SILVER CITY HIGHWAY,22,,TRUE,,Right,,,,SCOTIA,,2,,TRUE,BOTH LIGHT AND HEAVY VEHICLES,Water Truck
0104000020E610000001000000010100000091D5AD9E93CD6240E6483F8C10C640C0,3654,0104000020110F0000010000000101000000EC8D752458F06F41FCC8FA775D464EC1,,,Both,Both Directions,TRUE,,TRUE,,,A,,Rest Area,,,35km from Lithgow,,,,,,,,,,2024-04-17 00:00:00+00,-33.54738,BLUE MOUNTAINS,,,,551,TRUE,150.42427,,"0000184,0551,A1",,TRUE,,,,West,Transport for NSW,Mt Tomah Rest Area,817,BELLS LINE OF RD,184,,,,Left,,,,MOUNT TOMAH,,0,,,Light Vehicle Only,None
0104000020E610000001000000010100000026AAB706B6C162406601E1D1C6093DC0,3655,0104000020110F0000010000000101000000F5C3E87B30DC6F41FA3015D58DCA49C1,,,Both,Both Directions,TRUE,,,,,A,,Class 5 Heavy Vehicle Rest Area,,,55.1km North of Moree,,,,,,,,,,2024-04-17 00:00:00+00,-29.03819,MOREE PLAINS,,,,3350,TRUE,150.05347,,"0000017,3350,A1",,TRUE,,,,West,Transport for NSW,Kiga Bore Rest Area N/B,1165,NEWELL HIGHWAY,17,,,,Left,,,,MOREE,,0,,,BOTH LIGHT AND HEAVY VEHICLES,None
0104000020E61000000100000001010000008E01D9EBDDE96240552115C616CA3DC0,3656,0104000020110F00000100000001010000006503C9F5321070413EA58C8A0E864AC1,,,Counter,Both Directions,,,,,,A,Main Carriageway,Class 5 Heavy Vehicle Rest Area,,,46.49km West of Glenn Innes,,,,,,,,,,2024-04-17 00:00:00+00,-29.78941,INVERELL,,,,350,TRUE,151.30834,,"0000012,0350,A1",,TRUE,,,,North,Transport for NSW,Schumachers Westbound,715,GWYDIR HIGHWAY,12,,TRUE,,Right,,Open,,ELSMORE,,0,,TRUE,BOTH LIGHT AND HEAVY VEHICLES,None
0104000020E6100000010000000101000000228E75711B83624017ABA17F82A340C0,3657,0104000020110F0000010000000101000000B79851B8D9716F41CD214D7E0C004EC1,,,Both,Both Directions,,,,,,A,,Class 5 Heavy Vehicle Rest Area,,,19km South of Parkes,,,,,,,,,,2024-04-17 00:00:00+00,-33.27742,FORBES,,,,2621,TRUE,148.0971,,"0000017,2621,A1",,,,,,West,Transport for NSW,North of Forbes,765,NEWELL HIGHWAY,17,,,,Left,,,,DAROOBALGIE,,0,,,BOTH LIGHT AND HEAVY VEHICLES,None
0104000020E6100000010000000101000000C520B072681D63406CD037DBDCE83EC0,3658,0104000020110F0000010000000101000000ABE06613F93B7041148A29914CA04BC1,,,Counter,Southbound,TRUE,,,,,C,Physical Seperation,Class 2 Heavy Vehicle Rest Area,,,17.2km north of Kempsey,,,,,,,,,,2024-04-17 00:00:00+00,-30.90962,KEMPSEY,,,TRUE,2310,TRUE,152.919,,"0000010,2310,C1",,TRUE,TRUE,,,North,Transport for NSW,Clybucca Rest Area Southbound,4011,Pacific Highway Collombatti,10,,TRUE,,Right,,Open,,CLYBUCCA,,2,TRUE,TRUE,BOTH LIGHT AND HEAVY VEHICLES,Source Unknown
0104000020E6100000010000000101000000DDEF5014E88D62400121A4198BCE40C0,3659,0104000020110F00000100000001010000000C2893BB31846F41E3CE81F0A6574EC1,,,Both,Both Directions,,,,,,A,,Class 5 Heavy Vehicle Rest Area,,,Goolagong-47.3km East of Forbes,,,,,,,,,,2024-04-17 00:00:00+00,-33.61362,COWRA,,,,180,TRUE,148.43458,,"0000056,0180,A1",,,,,,West,Other,Memorial Park Goolagong,1238,COWRA-FORBES RD,56,,,,Right,,,,GOOLOOGONG,,0,,,BOTH LIGHT AND HEAVY VEHICLES,None
0104000020E610000001000000010100000083A3E4D539176340CD0751F701603EC0,3660,0104000020110F0000010000000101000000E32D67F6B8367041A000F40E34194BC1,,,Counter,,,,,,,A,Main Carriageway,Class 5 Heavy Vehicle Rest Area,,,24.5km west of Bellingen,,,,,,,,,,2024-04-17 00:00:00+00,-30.37503,BELLINGEN,,,,60,TRUE,152.72581,,"0000076,0060,A1",TRUE,,,,,North,Transport for NSW,Mountain Top,4188,WATERFALL WAY,76,,,,Right,,Open,,DORRIGO MOUNTAIN,,0,,,BOTH LIGHT AND HEAVY VEHICLES,None
