topoid,poigroup,poitype,poiname,poilabel,poilabeltype,poialtlabel,poisourcefeatureoid,accesscontrol,startdate,enddate,lastupdate,msoid,centroidid,shapeuuid,changetype,processstate,urbanity,cadid,createdate,modifieddate,lganame,councilname,abscode,ltocode,vgcode,wbcode
517400326,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152675,,2a25f74c-08bc-3d49-866d-161eb4beed7f,I,,S,,,,,,,,,
517400327,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152676,,7fa9b941-7c09-3bc2-99da-18427a82e087,I,,S,,,,,,,,,
517400328,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152677,,7842e2ca-de3c-3118-abda-9b89d85e5fca,I,,S,,,,,,,,,
517400329,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152678,,c01c1944-8a45-3f45-8a36-85a9279117a9,I,,S,,,,,,,,,
517400330,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152679,,d28e2233-f327-3ff5-bf9c-4f9c8f99932b,I,,S,,,,,,,,,
517400333,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152680,,e007edfa-03c7-30bf-9d02-a9af5804879f,I,,U,,,,,,,,,
517400334,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152681,,ce73ffd7-4309-3b32-a51b-3049c3f2933c,I,,S,,,,,,,,,
517400335,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152682,,f1881439-235b-312f-b2f1-844ffd4dbfe3,I,,U,,,,,,,,,
517400336,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152683,,01ec1639-f2c1-3260-b6f2-3d514acda09f,I,,S,,,,,,,,,
517400337,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152684,,f692c13e-496d-3628-94b4-82d78b0693a7,I,,S,,,,,,,,,
517400338,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152685,,7689fad3-84f1-3c13-9356-49e513c3d0b3,I,,S,,,,,,,,,
517400339,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152686,,ab9ce6c7-ffdb-3ef8-abd2-ab8bff84c60a,I,,S,,,,,,,,,
517400340,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152687,,f01da545-d0fe-39b5-bbe0-792a671d681e,I,,U,,,,,,,,,
517400395,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152688,,abf1d3f9-ce96-3cdc-a9ba-baaf384b9680,I,,S,,,,,,,,,
